"date","total_air_travels"
"01-Jan-20",238100
"02-Jan-20",290900
"03-Jan-20",300500
"04-Jan-20",293000
"05-Jan-20",315900
"06-Jan-20",275600
"07-Jan-20",229700
"08-Jan-20",203200
"09-Jan-20",221500
"10-Jan-20",251200
"11-Jan-20",235400
"12-Jan-20",261800
"13-Jan-20",221900
"14-Jan-20",171400
"15-Jan-20",172100
"16-Jan-20",205000
"17-Jan-20",242800
"18-Jan-20",218100
"19-Jan-20",253600
"20-Jan-20",220400
"21-Jan-20",170400
"22-Jan-20",171600
"23-Jan-20",203300
"24-Jan-20",238300
"25-Jan-20",216000
"26-Jan-20",254400
"27-Jan-20",217400
"28-Jan-20",164600
"29-Jan-20",167200
"30-Jan-20",209200
"31-Jan-20",247400
"01-Feb-20",222600
"02-Feb-20",257500
"03-Feb-20",226700
"04-Feb-20",175600
"05-Feb-20",170800
"06-Feb-20",205400
"07-Feb-20",240800
"08-Feb-20",228000
"09-Feb-20",192100
"10-Feb-20",247000
"11-Feb-20",203300
"12-Feb-20",210500
"13-Feb-20",252500
"14-Feb-20",253200
"15-Feb-20",215800
"16-Feb-20",260500
"17-Feb-20",245800
"18-Feb-20",212400
"19-Feb-20",215400
"20-Feb-20",259400
"21-Feb-20",300300
"22-Feb-20",285900
"23-Feb-20",292900
"24-Feb-20",277700
"25-Feb-20",229300
"26-Feb-20",208000
"27-Feb-20",232000
"28-Feb-20",252700
"29-Feb-20",231200
"01-Mar-20",257300
"02-Mar-20",228200
"03-Mar-20",181900
"04-Mar-20",167900
"05-Mar-20",205000
"06-Mar-20",235300
"07-Mar-20",225100
"08-Mar-20",246600
"09-Mar-20",217000
"10-Mar-20",187900
"11-Mar-20",175700
"12-Mar-20",184200
"13-Mar-20",195200
"14-Mar-20",192200
"15-Mar-20",201000
"16-Mar-20",159400
"17-Mar-20",109500
"18-Mar-20",87000
"19-Mar-20",80900
"20-Mar-20",64200
"21-Mar-20",51500
"22-Mar-20",36400
"23-Mar-20",28000
"24-Mar-20",22600
"25-Mar-20",14800
"26-Mar-20",14600
"27-Mar-20",13100
"28-Mar-20",11400
"29-Mar-20",10000
"30-Mar-20",5700
"31-Mar-20",5500
"01-Apr-20",4400
"02-Apr-20",4700
"03-Apr-20",5400
"04-Apr-20",5500
"05-Apr-20",5300
"06-Apr-20",3300
"07-Apr-20",4200
"08-Apr-20",4300
"09-Apr-20",4500
"10-Apr-20",3600
"11-Apr-20",3700
"12-Apr-20",3300
"13-Apr-20",3000
"14-Apr-20",1900
"15-Apr-20",2700
"16-Apr-20",2800
"17-Apr-20",3100
"18-Apr-20",3200
"19-Apr-20",2300
"20-Apr-20",3100
"21-Apr-20",3300
"22-Apr-20",3900
"23-Apr-20",2900
"24-Apr-20",4500
"25-Apr-20",3500
"26-Apr-20",3900
"27-Apr-20",3300
"28-Apr-20",4300
"29-Apr-20",3500
"30-Apr-20",5100
