param,value,llhd
alpha,0,-4747.69446509045
alpha,0.0293488747157277,-4747.42821119514
alpha,0.0586977494314554,-4747.1760625201
alpha,0.0880466241471831,-4746.93760334507
alpha,0.117395498862911,-4746.71246295087
alpha,0.146744373578639,-4746.50030594441
alpha,0.176093248294366,-4746.30082504674
alpha,0.205442123010094,-4746.11373567143
alpha,0.234790997725822,-4745.938771816
alpha,0.264139872441549,-4745.77568292391
alpha,0.293488747157277,-4745.6242314697
alpha,0.322837621873005,-4745.48419108706
alpha,0.352186496588732,-4745.35534510637
alpha,0.38153537130446,-4745.23748540367
alpha,0.410884246020188,-4745.13041148708
alpha,0.440233120735916,-4745.03392976532
alpha,0.469581995451643,-4744.9478529566
alpha,0.498930870167371,-4744.87199960567
alpha,0.528279744883099,-4744.80619368486
alpha,0.557628619598826,-4744.75026426054
alpha,0.586977494314554,-4744.70404521017
alpha,0.616326369030282,-4744.66737497947
alpha,0.645675243746009,-4744.64009637065
alpha,0.675024118461737,-4744.62205635527
alpha,0.704372993177465,-4744.61310590663
alpha,0.733721867893193,-4744.61309984769
alpha,0.76307074260892,-4744.62189671149
alpha,0.792419617324648,-4744.63935861148
alpha,0.821768492040376,-4744.66535112034
alpha,0.851117366756103,-4744.69974315547
alpha,0.880466241471831,-4744.74240687036
alpha,0.909815116187559,-4744.79321755078
alpha,0.939163990903287,-4744.85205351532
alpha,0.968512865619014,-4744.91879601974
alpha,0.997861740334742,-4744.99332916461
alpha,1.02721061505047,-4745.07553980627
alpha,1.0565594897662,-4745.16531747061
alpha,1.08590836448192,-4745.2625542695
alpha,1.11525723919765,-4745.36714482003
alpha,1.14460611391338,-4745.47898616603
alpha,1.17395498862911,-4745.59797770222
alpha,1.20330386334484,-4745.72402110056
alpha,1.23265273806056,-4745.85702023898
alpha,1.26200161277629,-4745.99688113229
alpha,1.29135048749202,-4746.14351186522
alpha,1.32069936220775,-4746.29682252789
alpha,1.35004823692347,-4746.45672515294
alpha,1.3793971116392,-4746.62313365512
alpha,1.40874598635493,-4746.7959637726
alpha,1.43809486107066,-4746.97513301049
beta,0,-5197.9696057104
beta,1.18014368352272,-5126.65768213361
beta,2.36028736704544,-5074.28808488036
beta,3.54043105056816,-5030.98790242381
beta,4.72057473409088,-4993.45614085499
beta,5.90071841761359,-4960.28361090719
beta,7.08086210113631,-4930.75361159717
beta,8.26100578465903,-4904.42926378946
beta,9.44114946818175,-4880.99420530937
beta,10.6212931517045,-4860.18865588098
beta,11.8014368352272,-4841.78367491948
beta,12.9815805187499,-4825.57081463468
beta,14.1617242022726,-4811.35790874276
beta,15.3418678857953,-4798.96730400054
beta,16.5220115693181,-4788.23504196894
beta,17.7021552528408,-4779.01034448462
beta,18.8822989363635,-4771.15511407479
beta,20.0624426198862,-4764.54334025043
beta,21.2425863034089,-4759.0603973099
beta,22.4227299869317,-4754.60226202914
beta,23.6028736704544,-4751.07469128484
beta,24.7830173539771,-4748.39239590284
beta,25.9631610374998,-4746.47823787676
beta,27.1433047210225,-4745.26246870975
beta,28.3234484045453,-4744.68201898252
beta,29.503592088068,-4744.67984370614
beta,30.6837357715907,-4745.20432429334
beta,31.8638794551134,-4746.20872563775
beta,33.0440231386361,-4747.65070541436
beta,34.2241668221588,-4749.49187199164
beta,35.4043105056816,-4751.69738704486
beta,36.5844541892043,-4754.23560892386
beta,37.764597872727,-4757.0777729504
beta,38.9447415562497,-4760.19770503115
beta,40.1248852397724,-4763.5715652278
beta,41.3050289232952,-4767.17761819983
beta,42.4851726068179,-4770.99602770795
beta,43.6653162903406,-4775.00867263129
beta,44.8454599738633,-4779.1989822009
beta,46.025603657386,-4783.55178838447
beta,47.2057473409088,-4788.05319357079
beta,48.3858910244315,-4792.69045189773
beta,49.5660347079542,-4797.45186274523
beta,50.7461783914769,-4802.32667507433
beta,51.9263220749996,-4807.30500143788
beta,53.1064657585223,-4812.37774061809
beta,54.2866094420451,-4817.53650796149
beta,55.4667531255678,-4822.77357258511
beta,56.6468968090905,-4828.08180072067
beta,57.8270404926132,-4833.45460454415
