Week starting,Epi-week,Estimated no. of importations,Lineage sizes (median and IQR),Importation lag (mean ± SD),Detection lag (mean ± SD)
Jan 05,2,0,-,-,-
Jan 12,3,0,-,-,-
Jan 19,4,0,-,-,-
Jan 26,5,6,335.5 [140.75-742.5],2.42 ± 3.89,20.83 ± 11.81
Feb 02,6,2,73.5 [37.75-109.25],8.05 ± 10.08,20 ± 2.83
Feb 09,7,14,4 [2-35.5],8.72 ± 6.81,19.07 ± 4.41
Feb 16,8,45,3 [2-12],8.92 ± 5.8,14.27 ± 5.28
Feb 23,9,80,5.5 [2-19.5],7.82 ± 5.85,13.43 ± 6.46
Mar 01,10,206,3 [2-10.75],9.07 ± 5.64,14.34 ± 6.65
Mar 08,11,335,4 [2-13],7.87 ± 5.18,14.11 ± 5.39
Mar 15,12,235,5 [2-10],8.14 ± 4.91,13.54 ± 4.88
Mar 22,13,120,5 [3-9],7.78 ± 4.67,13.47 ± 4.78
Mar 29,14,71,4 [2-7],8.92 ± 4.62,14.77 ± 5.35
Apr 05,15,31,4 [3-8],7.92 ± 4.09,15.06 ± 5.83
Apr 12,16,15,3 [2.5-5],9.38 ± 4.67,15.73 ± 5.01
Apr 19,17,10,5 [2.25-14.75],7.9 ± 5.74,13.9 ± 3.84
Apr 26,18,3,7 [5-10],6.05 ± 3.85,15.33 ± 3.06
May 03,19,1,21,2.1,16
May 10,20,1,6,5.54,15
May 17,21,3,4 [3.5-6.5],7.41 ± 3.25,14.67 ± 2.89
May 24,22,1,2,15.18,19
May 31,23,0,-,-,-
Jun 07,24,0,-,-,-
Jun 14,25,0,-,-,-
